Topic,Size,Top_Words,Representative_Text
115,36,"ummu haram, tertawa, haram, ummu, lautan","berkata, berkata; mendengar berkata, ""rasulullah shallallahu 'alaihi wasallam terlelap beberapa saat, setelah mengangkat kepala tersenyum. (waktu itu) berkata mereka, berkata beliau, ""wahai rasulullah..."
116,36,"hakim, seorang hakim, berijtihad, keadaan marah, sebagai hakim","mengabarkan kepadaku mantan budak 'amru al 'ash berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""apabila seorang hakim berhukum berijtihad benar baginya dua pahala, berhukum berijtihad sal..."
117,36,"barangsiapa membaca, ayat malam, dicatat termasuk, dicatat, sahur","kepadaku , diganti jalur riwayat, kepadaku berkata; barangsiapa membaca sepuluh ayat malam hari, tidak dicatat termasuk golongan orang-orang lalai...."
118,36,"syighar, menikah, menikahkan, pernikahan, boleh menikah","abdullah berkata; kepadaku berkata; kepadaku sesungguhnya nabi shallallahu'alaihiwasallam membenci pernikahan diselenggarakan secara sembunyi-sembunyi kendang dipukul, dilantunkan bait-bait lagu, ""kam..."
119,35,"tiga hari, tiga, setiap bulan, sepatu, puasa tiga",", , berasal azd syanuah, , berkata; kekasihku shallallahu 'alaihi wasallam berwasiat kepadaku tiga perkara, tidak meninggalkannya bepergian mupun bermukim, yaitu melakukan shalat dua raka'at shalat dh..."
120,35,"bisa melakukannya, bagaimana tidak, melakukannya bersabda, menguap, hisab mudah","berkata, berkata, mengabarkan berkata; kepadaku bahwasanya mendengar berkata; mendengar keduanya berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""tidaklah seseorang menelantarkan seorang m..."
121,34,"kucing, tikus, seekor kucing, buanglah, kabsyah","nabi shallallahu 'alaihi wasallam melaksanakan shalat kusuf (gerhana) bersabda: ""neraka didekatkan kepadaku berkata; ""wahai rabb, bersama mereka. manakala melihat seorang wanita"". nafi' berkata: mendu..."
122,34,"bahrain, negeri bahrain, ubaidah, ekor, yaman","berkata; berkata; mengabarkan kepadaku sesungguhnya mengabarinya, sesungguhnya yaitu wakil bani 'amir luhay, ikut perang badar bersama rasulullah shallallahu'alaihiwasallam mengabarinya, rasulullah sh..."
123,34,"putih, pipinya, salam ke, pipinya putih, wa rahmatullah","berkata, membacakannya dihadapan berkata, kepadaku kepadanya, berkata, ""jika nabi shallallahu 'alaihi wasallam sujud makan terlihat pipinya putih. mengucapkan salam ke sebelah kirinya menghadapkan waj..."
124,34,"putaran, berlari, lari kecil, berlari lari, kali putaran",", nabi shallallahu 'alaihi wasallam membuka pundak kanan, mengusap hajar aswad, serta bertakbir berlari-lari kecil sebanyak tiga kali putaran. di rukun yamani tersembunyi orang-orang quraisy berjalan,..."
125,34,"iqamah, abdullah salam, iqamah shalat, iqamah lagi, maghrib","kepadaku berkata; tatkala mendatangi sebagai tentara perang, uqbah amir menjadi gubernur mesir. mengakhirkan shalat maghrib. ayyub mendatanginya berkata; shalat apa wahai uqbah? menjawab; disibukkan. ..."
126,34,"janin, denda, diyat, memutuskan, sajak","berkata; kepadaku rasulullah shallallahu 'alaihi wasallam pernah memutuskan perkara antara dua wanita bani hudzail berkelahi, salah seorang melempar lawannya batu perutnya padahal hamil, menyebabkan k..."
127,33,"telinganya, terpotong, telinga, telingannya, mata telinga","berkata, berkata, mengabarkan berkata, ""rambut rasulullah shallallahu 'alaihi wasallam panjangnya dua daun telinga.""..."
128,33,"membenci, mencintai, kecuali orang, membencinya, barangsiapa mencintai","berkata, berkata, berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""sebaik-baik amal cinta allah benci allah.""..."
129,33,"miskin, orang miskin, sedekah, meminta minta, miskin orang",", berkata; , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""orang miskin bukanlah orang kembali diberi satu dua butir kurma, serta satu dua kali makan, orang miskin orang tidak meminta se..."
130,32,"membangun, membangun masjid, bata, barangsiapa membangun, masjid allah","berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""telah dijadikan bumi sebagai tempat suci masjid untukku.""..."
131,32,"anggota, anggota badan, di tujuh, sujud, diperintahkan sujud","berkata, : ""nabi shallallahu 'alaihi wasallam diperintahkan melaksanakan sujud tujuh anggota sujud; muka, kedua telapak tangan, kedua lutut kedua kaki tidak boleh terhalang rambut pakaian.""..."
132,32,"tempat duduknya, namaku, duduknya, duduknya di, neraka berkata",", , mengabarkan , berkata; nabi shallallahu 'alaihi wasallam bersabda: ""barangsiapa bersumpah dusta, hendaknya mempersiapkan tempatnya di neraka!""..."
133,32,"kalian ini, apakah ini, negeri, hari, haram","kepadaku kepadaku berkata; membonceng di bapakku haji wada', nabi shallallahu 'alaihi wasallam berbicara, pun berdiri di hewan tunggangan bagian belakang, meletakkan tanganku di pundak bapakku. menden..."
134,32,"berzina, zina, berzina lagi, juallah, cambuklah","rasulullah shallallahu 'alaihi wasallam pernah ditanya seorang budak wanita berzina, belum menikah? menjawab: ""jika melakukan zina cambuklah, melakukan zina lagi cambuklah, melakukan zina lagi cambukl..."
135,31,"susu, memerahnya, susunya, air susu, mengandung lemak","abdullah berkata; budak bani hasyim, berkata; sesungguhnya nabi shallallahu'alaihiwasallam melewatinya memeras, bersabda: ""sisakanlah orang meminta susu""...."
136,30,"kemudian siapa, bertanya lagi, siapakah, utsman, kemudian","berkata; bertanya ; ""siapakah di antara kalian bersama rasulullah shallallahu 'alaihi wasallam malam jin?"" menjawab; ""tidak seorang pun di antara bersama beliau.""..."
137,30,"pintu, pintu neraka, dibuka pintu, ditutup, dibuka","mengabarkan sahabat nabi shallallahu 'alaihi wa salam menyebut-nyebut ramadhan, bersabda: ""saat pintu-pintu surga dibuka, pintu-pintu neraka ditutup, setan-setan dibelenggu setiap malamnya ada menyeru..."
138,30,"izinnya, dimintai, gadis, persetujuannya, janda",", serta , berkata; mengabarkan , , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""seorang janda lebih berhak dirinya daripada walinya, seorang gadis dimintai izinnya urusan dirinya, izinn..."
139,30,"kulitnya, kambing, sapi, memanfaatkan kulitnya, ular itu",", , diriwayatkan jalur lain: , , berkata; bertanya rasulullah shallallahu wa'alaihi wa sallam janin hewan, berkata: ""makanlah kalian menghendaki!"" musaddad berkata; katakan; wahai rasulullah, menyembe..."
140,30,"saudara wanita, sebagai madu, bibi, dinikahi, madu",", , , , , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""tidak boleh seorang wanita dinikahi sebagai madu bibinya (saudari ayah), seorang bibi dinikahi sebagai madu anak wanita saudara la..."
141,30,"harta, hartaku, bermurah, bermurah hati, harta allah",", , diriwayatkan jalu lain: , secara makna, , berkata; rasulullah shallallahu wa'alaihi wa sallam bersabda: ""barang siapa mendapatkan barang temuan, hendaknya memperlihatkan orang adil tidak menyembun..."
142,29,"berpuasa, ingin berbuka, berbuka, berbukalah mengabarkan, ingin berpuasa","berkata, berkata, ""dalam safar kadang rasulullah shallallahu 'alaihi wasallam berpuasa kadang berbuka. ""..."
143,29,"muslim kefasikan, kefasikan, kefasikan membunuhnya, bersabda mencela, membunuhnya kekafiran","berkata, berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""akan ada sekelompok orang kaum muslimin keluar cepat terjadi perpecahan, dibunuh kelompok lebih berhak kebenaran di antara dua kel..."
144,29,"susunya, susu, ternak, mengembalikannya, memerah",", , kepadaku mantan budak abdurrahman zaid mengabarkan kepadanya mendengar berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa membeli kambing ditahan kantong susunya, memerahnya m..."
145,29,"cemburu, disukai allah, dibenci allah, dibenci, sombong",", maknanya satu. berkata; , berkata; , , nabi rasulullah shallallahu 'alaihi wasallam berkata: ""diantara rasa cemburu ada dicintai allah, diantara rasa cemburu tersebut ada dibenci allah."" adapun rasa..."
146,29,"wasallam sebanyak, peperangan, berperang bersama, kali peperangan, belas kali","kepadaku ; ""aku pernah berada di samping ditanyakan kepadanya; ""berapa kali nabi shallallahu 'alaihi wasallam ikut peperangan?"". menjawab; ""sembilan belas kali"". ditanyakan lagi; ""berapa kali menyerta..."
147,29,"barirah, perwalian, tawanan, syarat, persyaratan","berkata; radliallahu 'anhuma mengabarkan kepadanya, barirah datang aisyah meminta bantuan kepadanya hal perjanjian pembebasan dirinya, sementara tidak mampu melunasi sedikitpun perjanjain pembebasanny..."
148,29,"bermimpi, wajib mandi, mandi, ummu sulaim, wanita bermimpi","berkata, mengabarkan berkata, puteri ummu salamah, berkata, ""ummu sulaim datang menemui rasulullah shallallahu 'alaihi wasallam berkata, ""wahai rasulullah, sesungguhnya allah tidak malu perkara hak. a..."
149,29,"bayi, kencing, seorang bayi, air kencing, bayi laki","bahwasanya pernah membawa anaknya masih kecil belum makan (selain asi) rasulullah shallallahu 'alaihi wasallam, rasulullah shallallahu 'alaihi wasallam mendudukkannya di pangkuan beliau, tiba-tiba ana..."
150,29,"muzabanah, menjual, jual beli, jual, beli",", , , berkata; rasulullah shallallahu 'alaihi wasallam melarang muhaqalah (menjual gandum bulirnya gandum bersih timbangan tertentu), muzabanah (menjual kurma kering ruthab, menjual anggur kismis seca..."
151,28,"sepatunya, mengusap, mengusap kedua, sepatu, wasallam mengusap",yahya mengabarkan kepadaku melihat nabi shallallahu'alaihiwasallam membasuh diatas dua sepatu....
152,28,"yahudi, batu, membunuhmu, dua batu, seorang yahudi","berkata, mengabarkan berkata, ""seorang budak wanita ditemukan keadaan kepalanya retak di antara dua batu, ditanya, ""siapa melakukan ini? apakah si fulan, apakah si fulan?"" disebutlah nama seorang yahu..."
153,28,"mengusap, wasallam mengusap, khuf, kedua khuf, mengusap kedua","berkata; menyebutkan, bahwasanya rasulullah shallallahu 'alaihi wasallam biasa mengusap kedua khuf. sedangkan selain muhammad menyebutkan; mengusap bagian kedua khuf...."
154,28,"madu, minum madu, hafshah, madu di, bau","berkata; berkata mendengar berkata; mendengar radliallahu 'anhuma, isteri nabi shallallahu 'alaihi wasallam, mengabarkan nabi shallallahu 'alaihi wasallam tinggal di rumah zainab binti jahsy minum mad..."
155,28,"kedua, dzar, kaki, tawaruk, telapak","di riwayatkan jalur lain, hadits (riwayat) ahmad, berkata; mengabarkan mengabarkan kepadaku berkata; mendengar berkata di tengah-tengah sepuluh sahabat rasulullah shallallahu 'alaihi wasallam di antar..."
156,28,"sumpah, sumpah harga, allah sumpah, bersumpah, murka kepadanya",", berdua berkata; , , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa bersumpah keadaan berbuat dosa memutuskan harta orang muslim, berjumpa allah keadaan dimurkai."" al asy'ats..."
157,28,"sebagai tebusan, tebusan, perang uhud, lemparlah, uhud","bercerita bercerita berkata bercerita kepadaku . diriwayatkan pula, bercerita bercerita berkata bercerita kepadaku berkata mendengar berkata; tidak pernah melihat nabi shallallahu 'alaihi wasallam mem..."
158,28,"dua bulan, makan enam, berturut turut, bulan berturut, berturut","mengabarkan berkata, mengabarkan berkata: ""ketika duduk bermajelis bersama nabi shallallahu 'alaihi wasallam tiba-tiba datang seorang laki-laki berkata: ""wahai rasulullah, binasalah aku"". bertanya: ""a..."
159,28,"adzan, makan minumlah, mengumandangkan adzan, maktum, minumlah",", , berkata; al abbas meminta idzin rasulullah shallallahu wa'alaihi wa sallam bermalam di mekkah malam-malam hari di mina tugasnya memberi minum (orang-orang berhaji), memberikan idzin kepadanya...."
160,27,"lahul, laa, mulku, bagi nya, sekutu","berkata, seperti itu, . - berkata; - rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa di pagi membaca: laa ilaaha illaallahu wahdahu laa syariikalah lahul mulku wa lahul hamdu wa huwa 'a..."
161,27,"surga, masuk surga, derajat, firdaus, akan masuk",", , , kepadaku mendengar mendengar radliallahu 'anhu mengatakan rasulullah shallla allahu 'alaihi wa sallam bersabda: ""barangsiapa mengatakan; radhiitu billaahi rabban wa bil-islaami diinan wa bimuham..."
162,27,"rukun, thawaf, mengusap rukun, thawaf di, melakukan thawaf",", , mengabarkan kepadaku rasulullah shallallahu wa'alaihi wa sallam melakukan thawaf haji wada' di unta, mengusap rukun menggunakan tongkat...."
163,27,"wishal, puasa wishal, melakukan puasa, puasa, melakukan wishal","mereka, mendengar rasulullah shallallahu 'alaihi wasallam berkata: ""janganlah kalian melakukan puasa wishal, barangsiapa diantara kalian menghendaki melakukan wishal hendaknya melakukannya sahur."" ber..."
164,27,"berpuasalah, bagimu pahala, lebih itu, itu bersabda, sehari","keduanya berkata; mengabarkan nabi shallallahu 'alaihi wasallam bersabda kepadanya: ""bacalah al qur'an (hingga khatam) sebulan."" abdullah berkata; ""aku bisa (mengkhatamkan) lebih (sebulan)."" bersabda:..."
165,26,"masjidku, di masjidku, masjidil, masjid, shalat di","berkata, mengabarkan nabi shallallahu 'alaihi wasallam bersabda: ""shalat di masjidku nilainya seribu kali lebih baik dibandingkan masjid lain kecuali al masjidil haram""...."
166,26,"mengharap pahala, diampuni, pahala diampuni, dosanya, keimanan mengharap","maksudnya sama, keduanya berkata; nabi shallallahu 'alaihi wasallam, sabdanya: ""barangsiapa berpuasa di bulan ramadhan keimanan penuh harap, di ampuni dosa-dosanya lalu. barangsiapa bangun (shalat) ma..."
167,26,"perang uhud, uhud, hafalan al, mendahulukannya, hafalan",", mengabarkan kepadanya rasulullah shallallahu 'alaihi wasallam menggabungkan antara dua orang diantara orang-orang terbunuh perang uhud. berkata: ""siapakah diantara berdua lebih banyak menghafal al q..."
168,26,"barangsiapa beriman, hari akhir, allah hari, beriman allah, akhir hendaknya","berkata, mengabarkan berkata, , berkata, mendengar rasulullahi shallallahu'alaihiwasallam bersabda: ""barangsiapa beriman allah hari akhir, hendaklah memuliakan tamunya. barangsiapa beriman allah hari ..."
169,26,"memabukkan, setiap memabukkan, memabukkan haram, bersabda setiap, haram","berkata; musa -yaitu 'amru salm al anshari- berkata radliallahu 'anha, berkata, ""aku mendengar rasulullah shallallahu 'alaihi wasallam berkata: ""segala sesuatu memabukkan haram, sesuatu satu faraq mem..."
170,26,"kiamat, terjadi, hari kiamat, kiamat terjadi, tidak terjadi","berkata; kepadaku berkata; rasulullah shallallahu'alaihiwasallam bersabda: ""hari kiamat tidak terjadi kecuali menimpa manusia-manusia buruk""...."
171,26,"muntahannya, kembali pemberiannya, pemberiannya, mengambil kembali, kembali muntahannya","mengabarkan mengabarkan kepadaku kepadanya rasulullah shallallahu 'alaihi wasallam, bersabda: ""permisalan orang meminta kembali apa berikan seperti anjing muntah makan lagi. orang memberi meminta kemb..."
172,26,"alaa, kamaa, ibrahim, aali, alaa aali","berkata; bertanya -atau- bertanya; ""wahai rasulullah, anda memerintahkan bershalawat salam anda, mengetahui salam, bagaimana cara bershalawat anda?"" bersabda: ""ucapkanlah; 'allahumma shalli 'ala muham..."
173,26,"puluh ayat, ayat berdiri, tiga puluh, sekitar tiga, puluh","berkata; ""aku tidak pernah melihat sama sekali rasulullah shallallahu 'alaihi wasallam membaca shalat malam sambil duduk memasuki usia lanjut, di masa itu, barulah membaca sambil duduk, ayat belum di ..."
174,25,"izin, qu, al qu, qu ais, ais",", mengabarkan radliallahu 'anha, berkata; aflah al qu'ais menemuiku, menutup diri darinya. berkata; apakah menutup diri dariku? pamanmu. aisyah berkata; katakan; mana? berkata; disusui isteri saudarak..."
175,25,"anjing, membunuh anjing, memerintahkan membunuh, anjing penjaga, hitam pekat",", bahwasanya rasulullah shallallahu 'alaihi wasallam pernah memerintahkan membunuh anjing, bersabda: ""apa hak (untuk membunuh anjing) apa dosanya (untuk dibunuh)."" memberikan keringanan (untuk memelih..."
176,25,"surban, hitam, mengenakan surban, berwarna hitam, imamah","berkata; berkata, ""rasulullah shallallahu 'alaihi wasallam masuk pembukaan (penaklukan) kota makkah mengenakan imamah (surban lilitkan kepala) berwarna hitam.""..."
177,25,"penyakit, shafar, menular, ada shafar, penyakit menular","berkata, ""aku pernah mendatangi nabi shallallahu 'alaihi wasallam para sahabatnya, seolah-olah di kepala terdapat burung. mengucapkan salam duduk, ada seorang arab badui datang arah ini, berkata, ""wah..."
178,25,"rumah kalian, rumah, rumah rumah, kuburan, kalian jadikan","mengabarkan kepadaku berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""jadikanlah rumah-rumah kalian sebagai tempat mengerjakan shalat (sunnah), janganlah kalian jadikan sebagai kuburan.""..."
179,25,"kelompok, shalat khauf, khauf, satu raka, musuh","pernah mengerjakan shalat khauf bersama rasulullah shallallahu 'alaihi wasallam perang dzatur riqa', yaitu; satu shaf berbaris bersama beliau, sedangkan shaf lain (berjaga-jaga) menghadapi musuh, oran..."
180,25,"terbelah, bulan terbelah, bulan, terbelah menjadi, berkata bulan","bercerita mengabarkan berkata; zaman rasulullah shallallahu 'alaihi wasallam bulan pernah terbelah menjadi dua bagian nabi shallallahu 'alaihi wasallam bersabda: ""saksikanlah""...."
181,24,"subai ah, subai, melahirkan, suaminya, menikah","mengabarkan subai'ah al aslamiyyah ditinggal mati suaminya sedangkan keadaan hamil. selang beberapa malam kemudian, melahirkan. setelah suci nifasnya, dipinang. pun meminta izin nabi shallallahu 'alai..."
182,24,"hakim, tangan di, memberiku, meminta, meminta lagi","mendangar berkata; mendengar berkata; pernah meminta nabi shallallahu'alaihiwasallam memberi. meminta lagi memberi. meminta lagi memberi. bersabda: "" harta hijau manis, siapa mengambil sesuai haknya, ..."
183,24,"muslim ditinggal, ditinggal, bersabda tidaklah, ke surga, mati tiga","meneritakan berkata, meneritakan berkata, meneritakan bahwasanya mendengar berkata rasulullah shallallahu 'alaihi wasallam, bersabda: ""barangsiapa merelakan kematian tiga orang anaknya mengharap ganja..."
184,24,"kalian mendengar, mendengar adzan, berkata mendengar, mendengar berkata, diucapkan","bahwasanya rasulullah shallallahu 'alaihi wasallam bersabda: ""apabila kalian mendengar adzan, ucapkanlah seperti apa diucapkan muadzin.""..."
185,24,"melarang menjual, wasallam melarang, melarang, menjual, melarang jual",", , radliallahu 'anhuma, berkata; rasulullah shallallahu 'alaihi wasallam melarang menjual perwalian menghibahkannya...."
186,24,"shalat, dua kali, shalat ashar, ashar, baru shalat","berkata; berkata; ""rasulullah shallallahu 'alaihi wasallam mengerjakan shalat -ibrahim mengatakan; ""aku tidak tahu, apakah (raka'atnya) lebih ataukah kurang- setelah salam, di beritahukan beliau; ""wah..."
187,24,"hidung, ke hidung, air ke, memasukkan air, bilangan ganjil","berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""jika berwudlu, lakukanlah intitsar (menghirup air ke hidung mengeluarkannya). bersuci batu, lakukanlah bilangan ganjil.""..."
188,24,"menyembelih, kurban, kambing, sebelum shalat, barangsiapa menyembelih",", , , , , berkata; rasulullah shallallahu 'alaihi wasallam berkhutbah hari penyembelihan ('idul adhha) setelah melakukan shalat. berkata: ""barangsiapa melakukan shalat seperti shalat menyembelih sembe..."
189,24,"tua, muda, berikanlah kepadanya, lebih tua, berikanlah",", haditsnya, berkata; , berkata; mengabarkan kepadaku , berkata; rasulullah shallallahu wa'alaihi wa sallam bersabda: ""barang siapa ingin dilapangkan rizqinya dipanjangkan umurnya hendaknya menyambung..."
190,24,"rifa ah, rifa, ah, ah al, merasakan",", , , kepadaku , berkata; bertanya , berkata; katakan; terdapat seorang laki-laki menceraikan isterinya keadaan haid. berkata; apakah mengetahui abdullah umar? katakan; ya. berkata; sesungguhnya abdul..."
191,23,"isterinya, suami, malik berkata, suaminya, malik","mengabarkan , pernah istihadlah, suaminya tetap berhubungan badan dengannya...."
192,23,"tunggangannya, hewan tunggangannya, hewan, diatas hewan, menghadap","berkata; pernah melihat rasulullah shallallahu 'alaihi wasallam shalat di keledai, sedangkan menghadap ke arah khaibar.""..."
193,23,"taubatku, hartaku sebagai, sebagai sedekah, sedekah allah, hartaku",", , kepadaku , berkata; kepadaku , berkata; kepadaku , berkata; dzar berkata; wahai rasulallah! orang-orang kaya pergi membawa banyak pahala, melakukan shalat sebagaimana melakukan shalat, berpuasa se..."
194,23,"rajam, taurat, ayat rajam, hukuman, yahudi",", kepadaku , , berkata; sesungguhnya ibnu umar semoga allah mengampuninya, melakukan suatu kesalahan. sesungguhnya terdapat sebuah kampong anshar merupakan para penyembah berhala, hidup bersama kampon..."
195,23,"isterinya, bersama isterinya, laki, merajam, laki laki","daud berkata; menulis surat kepadaku; , berkata; seorang laki-laki datang nabi shallallahu 'alaihi wasallam berkata; istriku tidak menolak tangan orang menyentuhnya. menjawab: ceraikanlah dia! berkata..."
196,23,"menyentuh, menyentuh kemaluannya, kemaluannya hendaklah, kemaluannya, menyentuh kemaluan","bahwasanya pernah mendengar berkata; pernah menghadap , menyebut-nyebut sesuatu mengharuskan berwudhu. marwan berkata; menyentuh kemaluan. urwah berkata; tidak mengetahui hal itu. setelah marwan berka..."
197,23,"selama seratus, seratus tahun, pohon, pengendara, naungannya selama","nabi shallallahu 'alaihi wasallam, bersabda: ""dalam surga terdapat sebatang pohon bilamana seorang berkendaraan berjalan di bawahnya selama seratus tahun, belum habis melewati bayangannya. itu, bacala..."
198,22,"menggigit, gigi, serinya, pejantan menggigit, laki menggigit","keduanya berkata; mengkabarkan ada seseorang menggigit lengan orang lain. ibnu numair berkata; lantas menarik tangannya rontok dua gigi serinya. di hari berkata redaksi ""menariknya giginya (bukan dua ..."
199,22,"melempar, jumrah, aqabah, kerikil, melempar jumrah",", serta secara makna. berkata; , berkata; tatkala jumrah kubra menjadikan ka'bar berada di sisi kirinya mina di sisi kanannya, melempar jumrah tujuh kerikil. ibnu mas'ud berkata; demikianlah orang kep..."
200,22,"celakalah, celakalah ia, perang tipu, celakalah orang, celakalah dia","berkata, mengabarkan . (dalam jalur lain disebutkan) berkata, . (dalam jalur lain disebutkan) berkata, berkata, mengabarkan nabi shallallahu 'alaihi wasallam bersabda: ""tidak dikatakan dusta orang ber..."
201,22,"meninggalkan harta, meninggalkan, barangsiapa meninggalkan, harta, mati meninggalkan",", mengabarkan , , berkata; rasulullah shallallahu 'alaihi wasallam berkata: ""aku orang lebih utama (lebih berhak) orang-orang mukmin daripada diri sendiri, barangsiapa meninggalkan harta keluarganya, ..."
202,22,"membelinya, kuda, membelinya kembali, dijual, jangan","umar al khathab radliallahu 'anhu mewakafkan kuda di jalan allah, melihat kuda tersebut dijual, ingin membelinya. bertanya rasulullah shallallahu wa'alaihi wa sallam hal tersebut, bersabda: ""jangan be..."
203,22,"makan malam, makan, apabila makan, jika makan, malam","mengabarkan berkata; ""kami melaksanakan qailulah (tidur siang) makan siang setelah melaksanakan shalat jum'at.""..."
204,22,"allah menjauhkan, kuda, menjauhkan, sehari di, berpuasa sehari","bercerita bercerita mengabarkan berkata bercerita kepadaku keduanya mendengar berkata; mendengar nabi shallallahu 'alaihi wasallam bersabda; ""barang siapa shoum (berpuasa) satu hari di jalan allah, al..."
205,22,"kota, idzkhir, tidak boleh, hewan buruannya, kota makkah",", , , kepadaku , , berkata; tatkala allah ta'ala menaklukkan mekkah melalui rasulullah shallallahu 'alaihi wasallam, berdiri diantara memuji allah berkata: ""sesungguhnya allah menahan gajah ka'bah, al..."
206,22,"zam ah, zam, ah, abd zam, utbah",", , berkata; ; sa'd waqqash 'abdu zam'ah berselisih rasulullah shallallahu 'alaihi wasallam anak budak wanita zam'ah. sa'd berkata; saudaraku 'utbah memberiku wasiat datang ke mekkah agar melihat anak..."
207,22,"pisau, kuku, gigi kuku, gigi, mengalirkan darah",", , , , , berkata; datang rasulullah shallallahu 'alaihi wasallam katakan; wahai rasulullah, sesungguhnya bertemu musuh besok, tidak memiliki pisau. bolehkah menyembelih menggunakan marwah (batu putih..."
208,22,"lebih baik, sumpah melihat, suatu sumpah, bersumpah suatu, sesuatu lebih",", , , , nabi shallallahu 'alaihi wasallam bersabda: ""demi allah, insya allah tidak bersumpah suatu sumpah melihat lainnya lebih baik darinya kecuali membayar kafarah sumpahku melakukan lebih baik."" me..."
209,22,"duduk, shalat duduk, shalatlah kalian, kudanya, diikuti",", rasulullah shallallahu 'alaihi wasallam pernah menaiki seekor kuda, terpelanting darinya sisi kanannya terkoyak, melaksanakan salah satu shalat wajib duduk pun shalat di duduk. tatkala selesai, bers..."
210,22,"barus, kapur barus, kapur, kali lima, mandikanlah",", , berkata; mengambil hadits memandikan mayit berkata; ""kami memandikan puteri rasulullah shallalahu 'alaihi wasallam, menyuruh memandikannya daun bidara sebanyak tiga kali (guyuran), bila kurang lim..."
211,21,"ubun, ubun kuda, ubun ubun, pada ubun, bersabda pada","mengabarkan berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""pada ubun-ubun kuda itu, terikat kebaikan, pahala harta ghanimah hari kiamat.""..."
212,21,"menyusui kalian, menyusui, hitam, berpaling dariku, kalian berdua","kepadaku menceritakannya kepadaku , lebih hafal hadits sahabatku, berkata, ""aku menikahi ummu yahya binti ihab, seorang wanita hitam datang kepadaku mengaku menyusui semua. datang nabi shallallahu 'al..."
213,21,"gerhana, tanda, tanda tanda, matahari bulan, dua tanda","berkata, berkata, ""aku mendengar berkata, ""nabi shallallahu 'alaihi wasallam bersabda: ""sesungguhnya matahari bulan tidak mengalami gerhana disebabkan matinya seorang manusia, keduanya dua tanda tanda..."
214,21,"lemak, bangkai, semoga allah, mengharamkan, semoga","berada di makkah mendengar rasulullah shallallahu 'alaihi wasallam bersabda penaklukan makkah: ""sesungguhnya allah mengharamkan penjualan arak, bangkai, babi, serta berhala."" ditanya, ""wahai rasululla..."
215,21,"kalian diundang, undangan, diundang, undangan tersebut, diundang ke","rasulullah shallallahu 'alaihi wasallam bersabda: ""apabila salah seorang di antara kalian diundang menghadiri sebuah pesta, hendaknya mendatanginya!"" berkata, ""rasulullah shallallahu 'alaihi wasallam ..."
216,21,"membeli makanan, menggadaikan, pernah membeli, menggadaikan baju, baju",ahmad hanbal berkata; mengabarkan berkata; rasululah shallallahu'alaihiwasallam pernah membeli makanan seorang yahudi menggadai baju besinya....
217,21,"kesialan, kesialan ada, wanita kuda, kuda, tiga hal","bercerita mengabarkan berkata bercerita kepadaku berkata mendengar nabi shallallahu 'alaihi wasallam bersabda; ""sesungguhnya kesialan ada tiga hal, kuda, wanita tempat tinggal""...."
218,21,"menikahi seorang, abdurrahman auf, auf, abdurrahman, menikahi",", , serta rasulullah shallallahu 'alaihi wasallam melihat abdurrahman 'auf padanya terdapat bekas minyak za'faran. nabi shallallahu 'alaihi wasallam berkata: ""apakah ini?"" berkata; wahai rasulullah, m..."
219,21,"paling baik, paling, orang paling, akhlaknya, baik akhlaknya","berkata, menyebutkan berkata, ""seorang laki-laki berkata rasulullah shallallahu 'alaihi wasallam, ""wahai sebaik-baik manusia!"" rasulullah shallallahu 'alaihi wasallam bersabda: ""itu ibrahim.""..."
220,21,"ka bah, tiang, bah, ka, dua tiang","bercerita bercerita , rasulullah shallalahu 'alaihi wa sallam masuk ka'bah bersama 'utsman, thalhah usamah zaid sementara bilal menutup pintunya. keluar bertanya apa diakukan nabi shallalahu 'alaihi w..."
221,21,"penduduk, miqat, miqat penduduk, tempat tempat, sebagai miqat",", radliallahu 'anha rasulullah shallla allahu 'alaihi wa sallam menetapkan dzatu 'irq sebagai miqat penduduk irak...."
222,20,"bakar, bertepuk tangan, bertepuk, memimpin shalat, maju","rasulullah shallallahu 'alaihi wasallam pernah berkunjung bani 'amr 'auf mendamaikan perselisihan terjadi di antara mereka, sementara shalat tiba. mu'adzin datang menemui bakar radliallahu 'anhu, berk..."
223,20,"saksi, sebelum diminta, sumpah, saksi berkata, seorang saksi","mengabarkan mengabarkan kepadaku mengabarkan kepadanya mengabarkan kepadanya, mengabarkan kepadanya, mengabarkan kepadanya, rasulullah shallallahu 'alaihi wasallam bersabda: ""maukah beritahukan kalian..."
